Algorithm,Benchmark,Benchmark_Base,Iterations,Vars,Locs,Edges,Atomic_Stmts,XCVA_Path,Log_Path
KIND_C,twocount2.c,twocount2,13,30,5,4,82,fight_xcfa\c-xcfa\twocount2.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,twocount32.c,twocount32,13,28,5,4,74,fight_xcfa\c-xcfa\twocount32.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,Huffman_dec.c,Huffman_dec,13,448,5,4,990,fight_xcfa\c-xcfa\Huffman_dec.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
KIND_C,Huffman_enc.c,Huffman_enc,13,240,5,4,516,fight_xcfa\c-xcfa\Huffman_enc.yml\xcfa.json,opt_algos_logfiles\c-algos.2025-12-07_02-30-26.logfiles\c-kind.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,anderson.1.prop1-back-serstep.btor2,anderson.1,6,287,3,3,353,fight_xcfa\btor2-xcfa\anderson.1.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,anderson.3.prop1-back-serstep.btor2,anderson.3,6,450,3,3,545,fight_xcfa\btor2-xcfa\anderson.3.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,anderson.5.prop1-back-serstep.btor2,anderson.5,6,824,3,3,977,fight_xcfa\btor2-xcfa\anderson.5.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,anderson.7.prop1-back-serstep.btor2,anderson.7,6,1035,3,3,1217,fight_xcfa\btor2-xcfa\anderson.7.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,bakery.2.prop1-back-serstep.btor2,bakery.2,6,367,3,3,449,fight_xcfa\btor2-xcfa\bakery.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
CEGAR_PRED_BTOR,cyclic_scheduler.2.prop1-back-serstep.btor2,cyclic_scheduler.2,6,703,3,3,882,fight_xcfa\btor2-xcfa\cyclic_scheduler.2.prop1-back-serstep.yml\xcfa.json,opt_algos_logfiles\btor2-algos-opt.2025-12-07_02-16-12.logfiles\btor2-pred-cegar.adding.1.prop1-back-serstep.yml.log
