Input Filename,Input Type,Algorithm,Iterations
lamport_nonatomic.2.prop1-back-serstep.yml,BTOR2,BMC,4
lamport_nonatomic.2.prop1-func-interl.yml,BTOR2,BMC,4
lamport_nonatomic.3.prop1-back-serstep.yml,BTOR2,BMC,4
lamport_nonatomic.3.prop1-func-interl.yml,BTOR2,BMC,5
lamport_nonatomic.4.prop1-back-serstep.yml,BTOR2,BMC,4
lamport_nonatomic.4.prop1-func-interl.yml,BTOR2,BMC,4
lamport_nonatomic.5.prop1-back-serstep.yml,BTOR2,BMC,3
lamport_nonatomic.5.prop1-func-interl.yml,BTOR2,BMC,4
lann.1.prop1-back-serstep.yml,BTOR2,BMC,7
lann.1.prop1-func-interl.yml,BTOR2,BMC,8
lann.2.prop1-back-serstep.yml,BTOR2,BMC,6
lann.2.prop1-func-interl.yml,BTOR2,BMC,6
lann.3.prop1-back-serstep.yml,BTOR2,BMC,6
lann.3.prop1-func-interl.yml,BTOR2,BMC,6
lann.4.prop1-back-serstep.yml,BTOR2,BMC,6
lann.4.prop1-func-interl.yml,BTOR2,BMC,6
lann.5.prop1-back-serstep.yml,BTOR2,BMC,5
lann.5.prop1-func-interl.yml,BTOR2,BMC,5
lann.6.prop1-back-serstep.yml,BTOR2,BMC,6
lann.6.prop1-func-interl.yml,BTOR2,BMC,6
lann.7.prop1-back-serstep.yml,BTOR2,BMC,5
lann.7.prop1-func-interl.yml,BTOR2,BMC,6
lann.8.prop1-back-serstep.yml,BTOR2,BMC,5
lann.8.prop1-func-interl.yml,BTOR2,BMC,6
leader_election.1.prop1-back-serstep.yml,BTOR2,BMC,4
leader_election.1.prop1-func-interl.yml,BTOR2,BMC,4
leader_election.2.prop1-back-serstep.yml,BTOR2,BMC,3
leader_election.2.prop1-func-interl.yml,BTOR2,BMC,4
leader_election.3.prop1-back-serstep.yml,BTOR2,BMC,3
leader_election.3.prop1-func-interl.yml,BTOR2,BMC,4
leader_election.4.prop1-back-serstep.yml,BTOR2,BMC,3
leader_election.4.prop1-func-interl.yml,BTOR2,BMC,4
leader_election.5.prop1-back-serstep.yml,BTOR2,BMC,3
leader_election.5.prop1-func-interl.yml,BTOR2,BMC,4
leader_election.6.prop1-back-serstep.yml,BTOR2,BMC,3
leader_election.6.prop1-func-interl.yml,BTOR2,BMC,4
leader_filters.1.prop1-back-serstep.yml,BTOR2,BMC,5
leader_filters.1.prop1-func-interl.yml,BTOR2,BMC,7
leader_filters.2.prop1-back-serstep.yml,BTOR2,BMC,5
leader_filters.2.prop1-func-interl.yml,BTOR2,BMC,7
leader_filters.3.prop1-back-serstep.yml,BTOR2,BMC,5
leader_filters.3.prop1-func-interl.yml,BTOR2,BMC,6
leader_filters.4.prop1-back-serstep.yml,BTOR2,BMC,5
leader_filters.4.prop1-func-interl.yml,BTOR2,BMC,7
leader_filters.5.prop1-back-serstep.yml,BTOR2,BMC,5
leader_filters.5.prop1-func-interl.yml,BTOR2,BMC,6
leader_filters.6.prop1-back-serstep.yml,BTOR2,BMC,4
leader_filters.6.prop1-func-interl.yml,BTOR2,BMC,5
leader_filters.7.prop1-back-serstep.yml,BTOR2,BMC,4
leader_filters.7.prop1-func-interl.yml,BTOR2,BMC,6
lifts.1.prop1-back-serstep.yml,BTOR2,BMC,4
lifts.1.prop1-func-interl.yml,BTOR2,BMC,5
lifts.2.prop1-back-serstep.yml,BTOR2,BMC,4
lifts.2.prop1-func-interl.yml,BTOR2,BMC,4
lifts.3.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.3.prop1-func-interl.yml,BTOR2,BMC,4
lifts.4.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.4.prop1-func-interl.yml,BTOR2,BMC,4
lifts.5.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.5.prop1-func-interl.yml,BTOR2,BMC,4
lifts.6.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.6.prop1-func-interl.yml,BTOR2,BMC,4
lifts.7.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.7.prop1-func-interl.yml,BTOR2,BMC,4
lifts.8.prop1-back-serstep.yml,BTOR2,BMC,3
lifts.8.prop1-func-interl.yml,BTOR2,BMC,4
loyd.1.prop1-back-serstep.yml,BTOR2,BMC,10
loyd.1.prop1-func-interl.yml,BTOR2,BMC,12
loyd.2.prop1-back-serstep.yml,BTOR2,BMC,8
loyd.2.prop1-func-interl.yml,BTOR2,BMC,10
loyd.3.prop1-back-serstep.yml,BTOR2,BMC,8
loyd.3.prop1-func-interl.yml,BTOR2,BMC,9
lup.1.prop1-back-serstep.yml,BTOR2,BMC,5
lup.1.prop1-func-interl.yml,BTOR2,BMC,6
lup.2.prop1-back-serstep.yml,BTOR2,BMC,3
lup.2.prop1-func-interl.yml,BTOR2,BMC,6
lup.3.prop1-back-serstep.yml,BTOR2,BMC,3
lup.3.prop1-func-interl.yml,BTOR2,BMC,5
lup.4.prop1-back-serstep.yml,BTOR2,BMC,3
lup.4.prop1-func-interl.yml,BTOR2,BMC,5
mcs.1.prop1-back-serstep.yml,BTOR2,BMC,6
mcs.1.prop1-func-interl.yml,BTOR2,BMC,6
mcs.2.prop1-back-serstep.yml,BTOR2,BMC,5
mcs.2.prop1-func-interl.yml,BTOR2,BMC,6
mcs.3.prop1-back-serstep.yml,BTOR2,BMC,5
mcs.3.prop1-func-interl.yml,BTOR2,BMC,6
mcs.4.prop1-back-serstep.yml,BTOR2,BMC,5
